0 0  -0 1
386001 0.01609063564  0.001016605564 0.9998700205
387001 -0.01617650372  -0.0008963001037 0.9998687501
388001 0.01652571584  0.0004377765902 0.9998633452
389001 -0.01645809843  0.000314995368 0.9998645067
390001 0.01599065691  -0.001187940398 0.9998714356
391001 -0.01635719237  0.002158598688 0.9998638821
392001 0.01604396723  -0.003023290899 0.9998667165
393001 -0.01607904129  0.00335690797 0.9998650887
394001 0.01578576172  -0.004134745174 0.9998668479
395001 -0.0160456302  0.00509837665 0.9998582621
396001 0.01608846151  -0.006087377228 0.9998520417
397001 -0.01583626296  0.007343625979 0.9998476303
398001 0.01590767844  -0.008377407195 0.9998383693
399001 -0.01610456047  0.00901696124 0.9998296543
400001 0.016397361  -0.009775095009 0.9998177704
401001 -0.01547732832  0.01043829223 0.999825732
402001 0.01511187607  -0.01108544914 0.9998243566
403001 -0.01424870405  0.01175809729 0.9998293462
404001 0.01341094989  -0.01245521533 0.999832493
405001 -0.01262065953  0.01293613977 0.9998366743
406001 0.01202782951  -0.01258408674 0.9998484746
407001 -0.01165767675  0.01313549765 0.9998457667
408001 0.01109015255  -0.01364280183 0.9998454293
409001 -0.0105773408  0.01384431102 0.9998482159
410001 0.01067445879  -0.01377733747 0.9998481089
411001 -0.009866102008  0.0147151489 0.9998430499
412001 0.009224930644  -0.01535123604 0.9998396072
413001 -0.008724959372  0.01559763022 0.9998402817
414001 0.00768243967  -0.01591108295 0.9998438966
415001 -0.006596929108  0.0158793238 0.9998521529
416001 0.006001269297  -0.01639563077 0.9998475724
417001 -0.00467329776  0.01663503847 0.9998507067
418001 0.003729590707  -0.01730565448 0.99984329
419001 -0.002992027527  0.01748117684 0.9998427157
420001 0.002525109513  -0.01782308474 0.9998379676
421001 -0.001926405823  0.01738108232 0.9998470818
422001 0.0009950097004  -0.01711503678 0.9998530319
423001 -0.0002053575966  0.01749411778 0.9998469451
424001 -0.0009338219647  -0.01777813332 0.9998415204
425001 0.0009355692843  0.01771163879 0.9998426989
426001 -0.001786577449  -0.01770987656 0.9998415716
427001 0.002548222914  0.01808994623 0.9998331163
428001 -0.003325807758  -0.01803350538 0.9998318517
429001 0.003316309832  0.01763692924 0.9998389574
430001 -0.004531027928  -0.01801932631 0.9998273719
431001 0.005253156417  0.0168904619 0.9998435461
432001 -0.005206897146  -0.0161858013 0.9998554436
433001 0.00598920211  0.01637627414 0.999847962
434001 -0.006719791131  -0.01658854887 0.9998398194
435001 0.007905037524  0.01674462986 0.9998285492
436001 -0.008555504019  -0.0164673908 0.9998277994
437001 0.008713139772  0.01535892176 0.9998440802
438001 -0.008554381347  -0.01465697464 0.9998559874
439001 0.009129974886  0.01438659979 0.9998548241
440001 -0.01011205459  -0.01435630961 0.9998458095
441001 0.01078260707  0.01433642947 0.9998390881
442001 -0.01138503878  -0.01376807942 0.9998403977
443001 0.01176301014  0.01345082334 0.9998403407
444001 -0.01252150983  -0.01313473994 0.9998353316
